Day,Date,Total,Active,Rec,D,DeltaTotal,DeltaActive
102,,,0,,,,
101,,,0,,,,
100,,,0,,,,
32,4/12/2020,210,147,56,7,12,10
31,4/11/2020,198,137,54,7,8,8
30,4/10/2020,190,129,54,7,0,-5
29,4/9/2020,190,134,49,7,1,-4
28,4/8/2020,189,138,44,7,4,1
27,4/7/2020,185,137,42,6,7,2
26,4/6/2020,178,135,38,5,2,-3
25,4/5/2020,176,138,33,5,10,4
24,4/4/2020,166,134,27,5,7,3
23,4/3/2020,159,131,24,4,8,5
22,4/2/2020,151,126,21,4,5,4
21,4/1/2020,146,122,21,3,3,-2
20,3/31/2020,143,124,17,2,21,19
19,3/30/2020,122,105,15,2,5,0
18,3/29/2020,117,105,11,1,4,2
17,3/28/2020,113,103,9,1,7,4
16,3/27/2020,106,99,7,0,0,0
15,3/26/2020,106,99,7,0,4,0
14,3/25/2020,102,99,3,0,0,-1
13,3/24/2020,102,100,2,0,5,6
12,3/23/2020,97,94,3,0,15,15
11,3/22/2020,82,79,3,0,5,3
10,3/21/2020,77,76,1,0,4,6
9,3/20/2020,73,70,3,0,13,13
8,3/19/2020,60,57,3,0,9,7
7,3/18/2020,51,50,1,0,7,7
6,3/17/2020,44,43,1,0,16,16
5,3/16/2020,28,27,1,0,10,10
4,3/15/2020,18,17,1,0,8,8
3,3/14/2020,10,9,1,0,4,4
2,3/13/2020,6,5,1,0,4,4
1,3/12/2020,2,1,1,0,2,1
