N,DATE,CONFIRMED,AC,REC,D,ConfDelta,ACDelta,RecDelta,Ddelta
302,,,0,,,0,-1,0,0
301,,,1,,,0,-1,0,0
300,,,2,,,-15770,-14347,-1291,-130
49,4/28/2020,93558  6411,84235  5228,8456  1110,867  73,,,,
48,4/27/2020,87147  6198,79007  5572,7346  579,794  47,,,,
47,4/26/2020,80949  6361,73435  5778,6767  517,747  66,,,,
46,4/25/2020,74588  5966,67657  5218,6250  682,681  66,,,,
45,4/24/2020,68622  5849,62439  5112,5568  677,615  60,,,,
44,4/23/2020,62773  4774,57327  4261,4891  471,555  42,,,,
43,4/22/2020,57999  5236,53066  4632,4420  547,513  57,,,,
42,4/21/2020,52763  5642,48434  5164,3873  427,456  51,,,,
41,4/20/2020,47121  4268,43270  4069,3446  155,405  44,,,,
40,4/19/2020,42853  6060,39201  5778,3291  234,361  48,,,,
39,4/18/2020,36793  4785,33423  4278,3057  467,313  40,,,,
38,4/17/2020,32008  4070,29145  3743,2590  286,273  41,,,,
37,4/16/2020,27938  3448,25402  3096,2304  318,232  34,,,,
36,4/15/2020,24490  3388,22306  3068,1986  292,198  28,,,,
35,4/14/2020,21102  2774,19238  2528,1694  224,170  22,,,,
34,4/13/2020,18328  2558,16710  2361,1470  179,148  18,,,,
33,4/12/2020,15770,14349,1291,130,2186,1916,246,24
32,4/11/2020,13584,12433,1045,106,1667,1405,250,12
31,4/10/2020,11917,11028,795,94,1786,1671,97,18
30,4/9/2020,10131,9357,698,76,1459,1328,118,13
29,4/8/2020,8672,8029,580,63,1175,1084,86,5
28,4/7/2020,7497,6945,494,58,1154,1055,88,11
27,4/6/2020,6343,5890,406,47,954,901,51,2
26,4/5/2020,5389,4989,355,45,658,634,22,2
25,4/4/2020,4731,4355,333,43,582,521,52,9
24,4/3/2020,4149,3834,281,34,601,551,46,4
23,4/2/2020,3548,3283,235,30,771,720,45,6
22,4/1/2020,2777,2563,190,24,440,364,69,7
21,3/31/2020,2337,2199,121,17,501,438,55,8
20,3/30/2020,1836,1761,66,9,302,299,2,1
19,3/29/2020,1534,1462,64,8,270,251,15,4
18,3/28/2020,1264,1211,49,4,228,224,4,0
17,3/27/2020,1036,987,45,4,196,188,7,1
16,3/26/2020,840,799,38,3,182,173,9,0
15,3/25/2020,658,626,29,3,163,154,7,2
14,3/24/2020,495,472,22,1,57,51,6,0
13,3/23/2020,438,421,16,1,71,71,0,0
12,3/22/2020,367,350,16,1,61,57,4,0
11,3/21/2020,306,293,12,1,53,50,3,0
10,3/20/2020,253,243,9,1,54,54,0,0
9,3/19/2020,199,189,9,1,52,50,1,1
8,3/18/2020,147,139,8,0,33,33,0,0
7,3/17/2020,114,106,8,0,24,24,0,0
6,3/16/2020,90,82,8,0,27,27,0,0
5,3/15/2020,63,55,8,0,4,4,0,0
4,3/14/2020,59,51,8,0,14,9,5,0
3,3/13/2020,45,42,3,0,17,17,0,0
2,3/12/2020,28,25,3,0,8,8,0,0
1,3/11/2020,20,17,3,0,0,0,0,0
